Response,Predictor
4615.638,1.03193877
3426.333,0.881551557
3398.016,0.571455636
1897.226,0.356895251
12062.957,2.927000224
8778.208,2.430499066
1155.325,0.134304592
3482.966,0.735882894
2817.522,0.524937799
1962.354,0.597971494
11524.938,3.13471342
3341.382,1.07304647
2084.116,0.34491138
3681.184,0.804872774
1673.523,0.507600259
1166.652,0.360822614
2602.314,0.430057203
3313.066,0.562769424
3567.917,0.536778974
2944.947,0.713211497
4134.253,0.783957501
2687.264,0.321533974
3086.531,0.671838539
5861.578,0.970949669
1857.582,0.326096546
1962.354,0.330821817
2313.483,0.477695419
1356.375,0.278534457
3284.749,0.460334474
3114.848,0.450489929
3228.115,0.877998931
3086.531,0.775076092
2593.819,0.732157856
2627.799,0.655004798
2205.879,0.508745149
3936.035,0.775093908
2146.413,0.525791631
835.346,0.270397135
2438.076,0.666707301
2545.68,0.677355694
9457.811,2.172407307
2831.68,0.720761856
1381.86,0.253967378
5266.925,1.29892759
5493.459,1.082212755
2480.552,0.514330241
3964.352,0.662027175
5691.677,1.52977157
1942.532,0.460112736
1526.276,0.496711787
2639.126,0.47939213
3426.333,0.425341431
5918.211,1.369824994
8325.139,1.848238623
3482.966,0.574969171
4360.787,0.888858984
3567.917,0.701870882
2622.136,0.46414644
2392.77,0.374762097
2749.561,0.483996922
2647.621,0.318439624
5068.707,1.049000084
3964.352,0.849743606
2426.75,0.459452713
9259.594,2.228966196
3086.531,0.809693221
3992.669,0.680682873
1279.919,0.116821616
1667.86,0.414451877
1846.255,0.492492426
1390.355,0.404569772
3766.134,0.669430527
2186.057,0.478141716
3171.482,0.360710691
3624.55,0.847855961
3341.382,0.563777845
5465.142,1.393509263
4615.638,1.012228341
3794.451,1.064792988
2602.314,0.681751918
4105.936,0.886346619
1679.186,0.486578747
3086.531,0.617848801
2157.74,0.450578984
4190.886,1.112771592
2075.621,0.438344233
2330.473,0.7315395
